"Peak","Subset","N","N_alt","Pct","OS_HR","OS_p","PFS_HR","PFS_p","Direction"
"17P:DEL","COO:Unclassified",13,5,38.5,0.49,0.5419,1.36,0.7136,"BETTER"
"17P:DEL","C1",14,2,14.3,0,0.9993,0,0.9993,"BETTER"
"17P:DEL","C2",31,20,64.5,6.71,0.0692,4.88,0.0373,"WORSE"
"17P:DEL","C3",27,4,14.8,0,0.9983,0.69,0.6273,"BETTER"
"17P:DEL","C4",21,4,19,1,0.9975,1.29,0.8231,"Neutral"
"17P:DEL","C5",31,4,12.9,0.46,0.4601,0.43,0.4144,"BETTER"
"1P36.32:DEL","Global",127,33,26,0.72,0.3606,0.86,0.6379,"BETTER"
"1P36.32:DEL","COO:GCB",41,17,41.5,0.74,0.5613,0.8,0.6392,"BETTER"
"1P36.32:DEL","COO:ABC",48,9,18.8,1.28,0.668,0.93,0.9033,"WORSE"
"1P36.32:DEL","COO:Unclassified",13,4,30.8,0,0.9991,0.38,0.3753,"BETTER"
"1P36.32:DEL","C1",14,2,14.3,0,0.9992,0,0.9993,"BETTER"
"1P36.32:DEL","C2",31,17,54.8,1.26,0.6926,1.21,0.7126,"WORSE"
"1P36.32:DEL","C3",27,8,29.6,0.36,0.1929,0.48,0.266,"BETTER"
"1P36.32:DEL","C4",21,4,19,1.19,0.8767,1.6,0.6815,"WORSE"
"1P36.32:DEL","C5",31,2,6.5,0,0.9982,0,0.998,"BETTER"
"1P36.11:DEL","Global",127,23,18.1,0.49,0.1312,1.01,0.9876,"BETTER"
"1P36.11:DEL","COO:GCB",41,13,31.7,0.22,0.0476,0.79,0.6275,"BETTER"
"1P36.11:DEL","COO:ABC",48,5,10.4,1.9,0.3112,2.25,0.2007,"WORSE"
"1P36.11:DEL","COO:Unclassified",13,3,23.1,0,0.9992,0,0.9991,"BETTER"
"1P36.11:DEL","C1",14,1,7.1,NA,NA,NA,NA,NA
"1P36.11:DEL","C2",31,14,45.2,0.54,0.3164,1.14,0.8033,"BETTER"
"1P36.11:DEL","C3",27,5,18.5,0,0.9982,0.49,0.3486,"BETTER"
"1P36.11:DEL","C4",21,2,9.5,2.64,0.3868,2.64,0.3879,"WORSE"
"1P36.11:DEL","C5",31,1,3.2,NA,NA,NA,NA,NA
"1P31.1:DEL","Global",127,21,16.5,0.51,0.1549,0.93,0.8515,"BETTER"
"1P31.1:DEL","COO:GCB",41,10,24.4,0.13,0.047,0.42,0.1681,"BETTER"
"1P31.1:DEL","COO:ABC",48,6,12.5,1.22,0.7561,1.77,0.3073,"WORSE"
"1P31.1:DEL","COO:Unclassified",13,3,23.1,0.77,0.8195,0.64,0.6882,"BETTER"
"1P31.1:DEL","C1",14,2,14.3,2.41,0.4747,2.74,0.4108,"WORSE"
"1P31.1:DEL","C2",31,13,41.9,0.62,0.4432,1.23,0.6905,"BETTER"
"1P31.1:DEL","C3",27,3,11.1,0,0.9985,0.32,0.2731,"BETTER"
"1P31.1:DEL","C4",21,1,4.8,NA,NA,NA,NA,NA
"1P31.1:DEL","C5",31,2,6.5,0,0.9982,0,0.998,"BETTER"
"1P13.1:DEL","Global",127,20,15.7,0.93,0.8636,0.98,0.9596,"BETTER"
"1P13.1:DEL","COO:GCB",41,11,26.8,0.27,0.0842,0.57,0.3306,"BETTER"
"1P13.1:DEL","COO:ABC",48,5,10.4,3.66,0.0227,2.91,0.0927,"WORSE"
"1P13.1:DEL","COO:Unclassified",13,2,15.4,1.22,0.8607,1.06,0.9597,"WORSE"
"1P13.1:DEL","C1",14,2,14.3,3.19,0.3444,3.51,0.3103,"WORSE"
"1P13.1:DEL","C2",31,11,35.5,1.38,0.5851,0.99,0.9831,"WORSE"
"1P13.1:DEL","C3",27,4,14.8,0.46,0.4577,0.65,0.5827,"BETTER"
"1P13.1:DEL","C4",21,1,4.8,NA,NA,NA,NA,NA
"1P13.1:DEL","C5",31,2,6.5,0,0.9983,0,0.998,"BETTER"
"1Q42.12:DEL","Global",127,6,4.7,1.77,0.3438,2.42,0.0921,"WORSE"
"1Q42.12:DEL","COO:GCB",41,2,4.9,1.69,0.6184,4.55,0.0536,"WORSE"
"1Q42.12:DEL","COO:ABC",48,3,6.2,2.25,0.2817,2.77,0.1756,"WORSE"
"1Q42.12:DEL","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"1Q42.12:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"1Q42.12:DEL","C2",31,2,6.5,7.4,0.0215,8.69,0.0135,"WORSE"
"1Q42.12:DEL","C3",27,2,7.4,0,0.9983,1.13,0.9082,"BETTER"
"1Q42.12:DEL","C4",21,0,0,NA,NA,NA,NA,NA
"1Q42.12:DEL","C5",31,2,6.5,1.36,0.7688,1.18,0.8716,"WORSE"
"2Q22.2:DEL","Global",127,16,12.6,0.53,0.2211,0.6,0.2773,"BETTER"
"2Q22.2:DEL","COO:GCB",41,7,17.1,0.25,0.1807,0.43,0.2593,"BETTER"
"2Q22.2:DEL","COO:ABC",48,9,18.8,0.84,0.7767,0.67,0.5177,"BETTER"
"2Q22.2:DEL","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"2Q22.2:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"2Q22.2:DEL","C2",31,8,25.8,0.46,0.3148,0.27,0.0934,"BETTER"
"2Q22.2:DEL","C3",27,1,3.7,NA,NA,NA,NA,NA
"2Q22.2:DEL","C4",21,1,4.8,NA,NA,NA,NA,NA
"2Q22.2:DEL","C5",31,6,19.4,0.65,0.5712,0.5,0.3648,"BETTER"
"3P21.31:DEL","Global",127,28,22,0.63,0.2383,1.23,0.5113,"BETTER"
"3P21.31:DEL","COO:GCB",41,11,26.8,0.5,0.2733,0.58,0.3287,"BETTER"
"3P21.31:DEL","COO:ABC",48,12,25,1.13,0.8154,2.2,0.0849,"WORSE"
"3P21.31:DEL","COO:Unclassified",13,3,23.1,0,0.9992,0.73,0.7777,"BETTER"
"3P21.31:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"3P21.31:DEL","C2",31,15,48.4,0.37,0.1031,0.8,0.6771,"BETTER"
"3P21.31:DEL","C3",27,4,14.8,0.36,0.3327,0.82,0.7949,"BETTER"
"3P21.31:DEL","C4",21,2,9.5,0,0.9992,0,0.9989,"BETTER"
"3P21.31:DEL","C5",31,7,22.6,1.18,0.8041,1.41,0.5603,"WORSE"
"3Q28:DEL","Global",127,13,10.2,0.32,0.1153,0.47,0.2081,"BETTER"
"3Q28:DEL","COO:GCB",41,6,14.6,0.3,0.2465,0.6,0.5002,"BETTER"
"3Q28:DEL","COO:ABC",48,3,6.2,0.91,0.93,0,0.9981,"BETTER"
"3Q28:DEL","COO:Unclassified",13,2,15.4,0,0.9989,0,0.9988,"BETTER"
"3Q28:DEL","C1",14,2,14.3,0,0.9992,0,0.9993,"BETTER"
"3Q28:DEL","C2",31,9,29,0.43,0.2749,0.53,0.3337,"BETTER"
"3Q28:DEL","C3",27,1,3.7,NA,NA,NA,NA,NA
"3Q28:DEL","C4",21,1,4.8,NA,NA,NA,NA,NA
"3Q28:DEL","C5",31,0,0,NA,NA,NA,NA,NA
"4Q21.22:DEL","Global",127,27,21.3,0.55,0.1495,0.82,0.558,"BETTER"
"4Q21.22:DEL","COO:GCB",41,15,36.6,0.43,0.1489,0.63,0.356,"BETTER"
"4Q21.22:DEL","COO:ABC",48,6,12.5,0.69,0.6194,0.93,0.9056,"BETTER"
"4Q21.22:DEL","COO:Unclassified",13,2,15.4,2.24,0.4884,1.77,0.6124,"WORSE"
"4Q21.22:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"4Q21.22:DEL","C2",31,16,51.6,0.7,0.5493,1.05,0.9281,"BETTER"
"4Q21.22:DEL","C3",27,5,18.5,0,0.9982,0.25,0.1784,"BETTER"
"4Q21.22:DEL","C4",21,1,4.8,NA,NA,NA,NA,NA
"4Q21.22:DEL","C5",31,5,16.1,0.37,0.3394,0.28,0.2207,"BETTER"
"4Q35.1:DEL","Global",127,26,20.5,0.73,0.4217,1.06,0.8542,"BETTER"
"4Q35.1:DEL","COO:GCB",41,11,26.8,1.01,0.9847,1.1,0.8473,"WORSE"
"4Q35.1:DEL","COO:ABC",48,7,14.6,0.65,0.5662,1.33,0.6092,"BETTER"
"4Q35.1:DEL","COO:Unclassified",13,3,23.1,1.17,0.8896,0.9,0.9266,"WORSE"
"4Q35.1:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"4Q35.1:DEL","C2",31,16,51.6,1.14,0.8278,1.28,0.639,"WORSE"
"4Q35.1:DEL","C3",27,3,11.1,0,0.9985,0,0.9983,"BETTER"
"4Q35.1:DEL","C4",21,3,14.3,1.78,0.6057,1.79,0.6016,"WORSE"
"4Q35.1:DEL","C5",31,4,12.9,0,0.9985,0.86,0.8413,"BETTER"
"6P21.33:DEL","Global",127,11,8.7,1.05,0.928,0.94,0.9023,"WORSE"
"6P21.33:DEL","COO:GCB",41,4,9.8,0,0.9976,0.57,0.5814,"BETTER"
"6P21.33:DEL","COO:ABC",48,5,10.4,2.39,0.1695,1.23,0.78,"WORSE"
"6P21.33:DEL","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"6P21.33:DEL","C1",14,1,7.1,NA,NA,NA,NA,NA
"6P21.33:DEL","C2",31,4,12.9,1.22,0.798,1.49,0.6042,"WORSE"
"6P21.33:DEL","C3",27,2,7.4,0,0.9983,0,0.9982,"BETTER"
"6P21.33:DEL","C4",21,1,4.8,NA,NA,NA,NA,NA
"6P21.33:DEL","C5",31,3,9.7,0.83,0.8626,0.66,0.6874,"BETTER"
"6Q14.1:DEL","Global",127,19,15,1.16,0.7176,1.4,0.3557,"WORSE"
"6Q14.1:DEL","COO:GCB",41,8,19.5,2.05,0.2207,2.42,0.0956,"WORSE"
"6Q14.1:DEL","COO:ABC",48,7,14.6,0.29,0.2255,0.55,0.4297,"BETTER"
"6Q14.1:DEL","COO:Unclassified",13,3,23.1,4.34,0.1491,3.29,0.2028,"WORSE"
"6Q14.1:DEL","C1",14,1,7.1,NA,NA,NA,NA,NA
"6Q14.1:DEL","C2",31,5,16.1,1.17,0.8399,0.77,0.7327,"WORSE"
"6Q14.1:DEL","C3",27,4,14.8,1.54,0.5851,2.91,0.12,"WORSE"
"6Q14.1:DEL","C4",21,3,14.3,1.78,0.6057,1.79,0.6016,"WORSE"
"6Q14.1:DEL","C5",31,6,19.4,0.27,0.2113,0.53,0.3981,"BETTER"
"6Q14.3:DEL","Global",127,19,15,1.1,0.8178,1.49,0.2599,"WORSE"
"6Q14.3:DEL","COO:GCB",41,6,14.6,1.8,0.3652,2.25,0.1565,"WORSE"
"6Q14.3:DEL","COO:ABC",48,7,14.6,0.29,0.2255,0.9,0.8714,"BETTER"
"6Q14.3:DEL","COO:Unclassified",13,4,30.8,2.54,0.3529,1.84,0.5058,"WORSE"
"6Q14.3:DEL","C1",14,1,7.1,NA,NA,NA,NA,NA
"6Q14.3:DEL","C2",31,6,19.4,0.88,0.8653,0.56,0.4471,"BETTER"
"6Q14.3:DEL","C3",27,2,7.4,1.6,0.6587,5.84,0.0318,"WORSE"
"6Q14.3:DEL","C4",21,2,9.5,3.55,0.2597,3.57,0.2575,"WORSE"
"6Q14.3:DEL","C5",31,8,25.8,0.43,0.2713,0.84,0.7691,"BETTER"
"6Q21:DEL","Global",127,22,17.3,0.87,0.7413,1.03,0.9443,"BETTER"
"6Q21:DEL","COO:GCB",41,7,17.1,2.12,0.1949,1.62,0.3928,"WORSE"
"6Q21:DEL","COO:ABC",48,11,22.9,0.37,0.1814,0.76,0.6321,"BETTER"
"6Q21:DEL","COO:Unclassified",13,3,23.1,1.17,0.8896,0.9,0.9266,"WORSE"
"6Q21:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"6Q21:DEL","C2",31,7,22.6,1.41,0.605,1.02,0.9785,"WORSE"
"6Q21:DEL","C3",27,3,11.1,2.16,0.3297,1.83,0.4338,"WORSE"
"6Q21:DEL","C4",21,2,9.5,3.55,0.2597,3.57,0.2575,"WORSE"
"6Q21:DEL","C5",31,10,32.3,0.13,0.0489,0.38,0.1303,"BETTER"
"6Q23.3:DEL","Global",127,17,13.4,0.75,0.5428,0.88,0.7633,"BETTER"
"6Q23.3:DEL","COO:GCB",41,7,17.1,0.74,0.6899,0.89,0.8618,"BETTER"
"6Q23.3:DEL","COO:ABC",48,7,14.6,0.6,0.499,0.89,0.8495,"BETTER"
"6Q23.3:DEL","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"6Q23.3:DEL","C1",14,1,7.1,NA,NA,NA,NA,NA
"6Q23.3:DEL","C2",31,3,9.7,2.56,0.2312,1.74,0.4736,"WORSE"
"6Q23.3:DEL","C3",27,4,14.8,0.46,0.4547,0.71,0.6528,"BETTER"
"6Q23.3:DEL","C4",21,3,14.3,0,0.999,0,0.999,"BETTER"
"6Q23.3:DEL","C5",31,6,19.4,0.67,0.6065,0.86,0.8188,"BETTER"
"8Q12.1:DEL","Global",127,13,10.2,1.06,0.9093,1.06,0.898,"WORSE"
"8Q12.1:DEL","COO:GCB",41,7,17.1,0.53,0.4066,0.38,0.2,"BETTER"
"8Q12.1:DEL","COO:ABC",48,6,12.5,1.75,0.3763,2.52,0.1012,"WORSE"
"8Q12.1:DEL","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"8Q12.1:DEL","C1",14,1,7.1,NA,NA,NA,NA,NA
"8Q12.1:DEL","C2",31,5,16.1,1.99,0.3075,1.23,0.7462,"WORSE"
"8Q12.1:DEL","C3",27,1,3.7,NA,NA,NA,NA,NA
"8Q12.1:DEL","C4",21,1,4.8,NA,NA,NA,NA,NA
"8Q12.1:DEL","C5",31,5,16.1,1.05,0.9521,1.61,0.4611,"WORSE"
"9P21.3:DEL","Global",127,17,13.4,1.31,0.4902,1.32,0.4532,"WORSE"
"9P21.3:DEL","COO:GCB",41,7,17.1,0.92,0.9014,0.96,0.9397,"BETTER"
"9P21.3:DEL","COO:ABC",48,6,12.5,1.78,0.3619,0.95,0.9505,"WORSE"
"9P21.3:DEL","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"9P21.3:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"9P21.3:DEL","C2",31,14,45.2,1.08,0.8927,0.93,0.8824,"WORSE"
"9P21.3:DEL","C3",27,2,7.4,1.22,0.853,0.9,0.9183,"WORSE"
"9P21.3:DEL","C4",21,0,0,NA,NA,NA,NA,NA
"9P21.3:DEL","C5",31,1,3.2,NA,NA,NA,NA,NA
"9Q21.13:DEL","Global",127,16,12.6,1.36,0.4324,1.81,0.0811,"WORSE"
"9Q21.13:DEL","COO:GCB",41,4,9.8,0.91,0.902,0.69,0.6251,"BETTER"
"9Q21.13:DEL","COO:ABC",48,6,12.5,1.48,0.5355,2.68,0.0568,"WORSE"
"9Q21.13:DEL","COO:Unclassified",13,2,15.4,3.5,0.1861,2.81,0.2493,"WORSE"
"9Q21.13:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"9Q21.13:DEL","C2",31,10,32.3,1.28,0.6808,2.26,0.1184,"WORSE"
"9Q21.13:DEL","C3",27,2,7.4,0.89,0.9146,0.82,0.8509,"BETTER"
"9Q21.13:DEL","C4",21,0,0,NA,NA,NA,NA,NA
"9Q21.13:DEL","C5",31,4,12.9,1.31,0.726,0.98,0.9806,"WORSE"
"10Q23.31:DEL","Global",127,18,14.2,1.84,0.1028,1.3,0.4957,"WORSE"
"10Q23.31:DEL","COO:GCB",41,10,24.4,1.75,0.3012,1.37,0.5434,"WORSE"
"10Q23.31:DEL","COO:ABC",48,3,6.2,3.77,0.0365,2.53,0.2171,"WORSE"
"10Q23.31:DEL","COO:Unclassified",13,2,15.4,2.24,0.4884,1.77,0.6124,"WORSE"
"10Q23.31:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"10Q23.31:DEL","C2",31,10,32.3,2.03,0.2346,1.33,0.6015,"WORSE"
"10Q23.31:DEL","C3",27,5,18.5,0.88,0.865,0.32,0.2675,"BETTER"
"10Q23.31:DEL","C4",21,2,9.5,3.55,0.2597,3.57,0.2575,"WORSE"
"10Q23.31:DEL","C5",31,1,3.2,NA,NA,NA,NA,NA
"12P13.2:DEL","Global",127,18,14.2,0.72,0.4932,0.72,0.4581,"BETTER"
"12P13.2:DEL","COO:GCB",41,10,24.4,0.39,0.2118,0.45,0.2066,"BETTER"
"12P13.2:DEL","COO:ABC",48,5,10.4,2.28,0.1931,1.32,0.7105,"WORSE"
"12P13.2:DEL","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"12P13.2:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"12P13.2:DEL","C2",31,7,22.6,1.4,0.6234,1.11,0.8752,"WORSE"
"12P13.2:DEL","C3",27,5,18.5,0,0.9982,0.21,0.1325,"BETTER"
"12P13.2:DEL","C4",21,2,9.5,3.05,0.3213,3.07,0.319,"WORSE"
"12P13.2:DEL","C5",31,4,12.9,0.42,0.4008,0.36,0.3238,"BETTER"
"13Q14.2:DEL","Global",127,15,11.8,1.28,0.5703,1.27,0.5588,"WORSE"
"13Q14.2:DEL","COO:GCB",41,5,12.2,1.9,0.3195,0.88,0.8657,"WORSE"
"13Q14.2:DEL","COO:ABC",48,4,8.3,1.62,0.5223,5.64,0.0032,"WORSE"
"13Q14.2:DEL","COO:Unclassified",13,2,15.4,2.24,0.4884,1.77,0.6124,"WORSE"
"13Q14.2:DEL","C1",14,1,7.1,NA,NA,NA,NA,NA
"13Q14.2:DEL","C2",31,7,22.6,2.15,0.2119,2.13,0.171,"WORSE"
"13Q14.2:DEL","C3",27,5,18.5,0.34,0.3069,0,0.9981,"BETTER"
"13Q14.2:DEL","C4",21,0,0,NA,NA,NA,NA,NA
"13Q14.2:DEL","C5",31,2,6.5,1.65,0.6368,4.3,0.0665,"WORSE"
"13Q34:DEL","Global",127,16,12.6,1.09,0.838,1.09,0.8374,"WORSE"
"13Q34:DEL","COO:GCB",41,4,9.8,0.55,0.5662,0.96,0.953,"BETTER"
"13Q34:DEL","COO:ABC",48,3,6.2,4.52,0.0175,5.18,0.0098,"WORSE"
"13Q34:DEL","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"13Q34:DEL","C1",14,1,7.1,NA,NA,NA,NA,NA
"13Q34:DEL","C2",31,4,12.9,1.34,0.7073,1.67,0.4303,"WORSE"
"13Q34:DEL","C3",27,6,22.2,0.27,0.2063,0.18,0.1007,"BETTER"
"13Q34:DEL","C4",21,3,14.3,1.63,0.663,1.64,0.6589,"WORSE"
"13Q34:DEL","C5",31,2,6.5,2.57,0.2212,6.29,0.029,"WORSE"
"14Q32.31:DEL","Global",127,16,12.6,2.08,0.0418,1.96,0.0481,"WORSE"
"14Q32.31:DEL","COO:GCB",41,6,14.6,1.43,0.5831,1.63,0.3961,"WORSE"
"14Q32.31:DEL","COO:ABC",48,6,12.5,3.26,0.0255,3.15,0.0278,"WORSE"
"14Q32.31:DEL","COO:Unclassified",13,2,15.4,0.93,0.9488,0.75,0.7944,"BETTER"
"14Q32.31:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"14Q32.31:DEL","C2",31,10,32.3,1.45,0.5292,1.25,0.6704,"WORSE"
"14Q32.31:DEL","C3",27,1,3.7,NA,NA,NA,NA,NA
"14Q32.31:DEL","C4",21,2,9.5,8.25,0.0219,8.28,0.0216,"WORSE"
"14Q32.31:DEL","C5",31,3,9.7,3.88,0.047,3.05,0.092,"WORSE"
"15Q15.3:DEL","Global",127,29,22.8,0.41,0.0446,0.62,0.1812,"BETTER"
"15Q15.3:DEL","COO:GCB",41,10,24.4,0.16,0.0754,0.7,0.5211,"BETTER"
"15Q15.3:DEL","COO:ABC",48,10,20.8,1.34,0.5742,1.16,0.7787,"WORSE"
"15Q15.3:DEL","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"15Q15.3:DEL","C1",14,3,21.4,1.75,0.6484,1.66,0.6795,"WORSE"
"15Q15.3:DEL","C2",31,8,25.8,0.21,0.1333,1.05,0.9334,"BETTER"
"15Q15.3:DEL","C3",27,7,25.9,0,0.9979,0.1,0.0308,"BETTER"
"15Q15.3:DEL","C4",21,3,14.3,1.22,0.8607,1.23,0.8553,"WORSE"
"15Q15.3:DEL","C5",31,8,25.8,0.76,0.6764,0.6,0.4242,"BETTER"
"16Q12.1:DEL","Global",127,17,13.4,1.53,0.2762,1.22,0.5972,"WORSE"
"16Q12.1:DEL","COO:GCB",41,7,17.1,0.33,0.2804,0.82,0.7543,"BETTER"
"16Q12.1:DEL","COO:ABC",48,5,10.4,5.64,0.0012,3.29,0.0609,"WORSE"
"16Q12.1:DEL","COO:Unclassified",13,3,23.1,1.58,0.6398,1.25,0.8103,"WORSE"
"16Q12.1:DEL","C1",14,1,7.1,NA,NA,NA,NA,NA
"16Q12.1:DEL","C2",31,10,32.3,2.15,0.2078,0.99,0.9858,"WORSE"
"16Q12.1:DEL","C3",27,3,11.1,0.81,0.8447,1.08,0.9211,"BETTER"
"16Q12.1:DEL","C4",21,1,4.8,NA,NA,NA,NA,NA
"16Q12.1:DEL","C5",31,2,6.5,4.45,0.0639,3.01,0.1527,"WORSE"
"17P11.2:DEL","Global",127,5,3.9,2.44,0.1365,1.86,0.299,"WORSE"
"17P11.2:DEL","COO:GCB",41,0,0,NA,NA,NA,NA,NA
"17P11.2:DEL","COO:ABC",48,4,8.3,3.51,0.0485,2.95,0.0853,"WORSE"
"17P11.2:DEL","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"17P11.2:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"17P11.2:DEL","C2",31,0,0,NA,NA,NA,NA,NA
"17P11.2:DEL","C3",27,1,3.7,NA,NA,NA,NA,NA
"17P11.2:DEL","C4",21,1,4.8,NA,NA,NA,NA,NA
"17P11.2:DEL","C5",31,3,9.7,2.01,0.3669,1.56,0.5605,"WORSE"
"17Q25.1:DEL","Global",127,4,3.1,0.68,0.6999,0.53,0.524,"BETTER"
"17Q25.1:DEL","COO:GCB",41,1,2.4,NA,NA,NA,NA,NA
"17Q25.1:DEL","COO:ABC",48,3,6.2,0.82,0.8429,0.76,0.7873,"BETTER"
"17Q25.1:DEL","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"17Q25.1:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"17Q25.1:DEL","C2",31,1,3.2,NA,NA,NA,NA,NA
"17Q25.1:DEL","C3",27,0,0,NA,NA,NA,NA,NA
"17Q25.1:DEL","C4",21,0,0,NA,NA,NA,NA,NA
"17Q25.1:DEL","C5",31,3,9.7,0.78,0.809,0.65,0.6732,"BETTER"
"18Q23:DEL","Global",127,18,14.2,0.85,0.7081,1.44,0.3169,"BETTER"
"18Q23:DEL","COO:GCB",41,12,29.3,0.71,0.563,1.83,0.209,"BETTER"
"18Q23:DEL","COO:ABC",48,2,4.2,1.02,0.9834,0.9,0.915,"WORSE"
"18Q23:DEL","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"18Q23:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"18Q23:DEL","C2",31,7,22.6,1.79,0.3471,4.34,0.0132,"WORSE"
"18Q23:DEL","C3",27,6,22.2,0.6,0.5165,0.96,0.9441,"BETTER"
"18Q23:DEL","C4",21,4,19,0,0.9989,0,0.999,"BETTER"
"18Q23:DEL","C5",31,1,3.2,NA,NA,NA,NA,NA
"19P13.3:DEL","Global",127,21,16.5,0.8,0.5949,1.11,0.7748,"BETTER"
"19P13.3:DEL","COO:GCB",41,8,19.5,0.9,0.8686,1.01,0.9856,"BETTER"
"19P13.3:DEL","COO:ABC",48,10,20.8,1.13,0.8253,1.77,0.2446,"WORSE"
"19P13.3:DEL","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"19P13.3:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"19P13.3:DEL","C2",31,12,38.7,0.6,0.4246,0.75,0.6047,"BETTER"
"19P13.3:DEL","C3",27,2,7.4,2,0.5115,1.47,0.712,"WORSE"
"19P13.3:DEL","C4",21,1,4.8,NA,NA,NA,NA,NA
"19P13.3:DEL","C5",31,6,19.4,0.73,0.6856,0.96,0.9553,"BETTER"
"19P13.2:DEL","Global",127,14,11,0.84,0.7214,0.9,0.8096,"BETTER"
"19P13.2:DEL","COO:GCB",41,5,12.2,0.81,0.7821,0.63,0.5348,"BETTER"
"19P13.2:DEL","COO:ABC",48,8,16.7,1.02,0.9768,1.29,0.6482,"WORSE"
"19P13.2:DEL","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"19P13.2:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"19P13.2:DEL","C2",31,8,25.8,1.4,0.591,0.93,0.902,"WORSE"
"19P13.2:DEL","C3",27,0,0,NA,NA,NA,NA,NA
"19P13.2:DEL","C4",21,0,0,NA,NA,NA,NA,NA
"19P13.2:DEL","C5",31,6,19.4,0.26,0.2024,0.48,0.3431,"BETTER"
"19Q13.32:DEL","Global",127,10,7.9,0.8,0.7022,1.41,0.4614,"BETTER"
"19Q13.32:DEL","COO:GCB",41,2,4.9,0,0.9981,1.26,0.8263,"BETTER"
"19Q13.32:DEL","COO:ABC",48,5,10.4,1.27,0.7485,1.93,0.2949,"WORSE"
"19Q13.32:DEL","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"19Q13.32:DEL","C1",14,0,0,NA,NA,NA,NA,NA
"19Q13.32:DEL","C2",31,5,16.1,1.07,0.9305,1.13,0.8784,"WORSE"
"19Q13.32:DEL","C3",27,0,0,NA,NA,NA,NA,NA
"19Q13.32:DEL","C4",21,0,0,NA,NA,NA,NA,NA
"19Q13.32:DEL","C5",31,5,16.1,0.42,0.3988,1.11,0.8753,"BETTER"
