"Gene","N_Patients","Pct_Patients","Silent","Missense","Truncating","Total","Pct_Silent","Pct_Trunc","Trunc_Mis_Ratio","Pattern","Pathway","Function"
"CACNA1B",7,5.2,4,3,0,7,57.1,0,0,"aSHM Passenger",NA,NA
"CACNA1C",7,5.2,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"CACNA1E",6,4.4,0,7,0,7,0,0,0,"Hotspot/GoF",NA,NA
"CCND3",6,4.4,1,3,3,7,14.3,42.9,1,"LoF Selection",NA,NA
"CDH11",7,5.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"CDH9",3,2.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"COL12A1",4,3,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"CXorf22",7,5.2,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"DAB2",6,4.4,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"DACH1",3,2.2,3,3,1,7,42.9,14.3,0.333,"Neutral/Unclear",NA,NA
"DCHS2",6,4.4,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA
"DNAH1",5,3.7,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"DNAH9",7,5.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"DPP10",3,2.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"DUSP2",7,5.2,2,3,2,7,28.6,28.6,0.667,"Mixed",NA,NA
"EEF1A1",5,3.7,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA
"EPHA4",4,3,3,4,0,7,42.9,0,0,"aSHM Passenger",NA,NA
"ERBB4",4,3,2,4,1,7,28.6,14.3,0.25,"Neutral/Unclear",NA,NA
"EYS",4,3,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"GABRG2",6,4.4,0,6,1,7,0,14.3,0.167,"Neutral/Unclear",NA,NA
"GABRG3",3,2.2,2,4,1,7,28.6,14.3,0.25,"Neutral/Unclear",NA,NA
"GLRB",3,2.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"GPR158",5,3.7,3,4,0,7,42.9,0,0,"aSHM Passenger",NA,NA
"GUCY1A3",3,2.2,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"HEATR1",6,4.4,4,3,0,7,57.1,0,0,"aSHM Passenger",NA,NA
"HEMGN",3,2.2,2,4,1,7,28.6,14.3,0.25,"Neutral/Unclear",NA,NA
"HIST1H3B",7,5.2,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"HSPG2",6,4.4,2,4,1,7,28.6,14.3,0.25,"Neutral/Unclear",NA,NA
"HVCN1",6,4.4,0,4,3,7,0,42.9,0.75,"LoF Selection",NA,NA
"INADL",6,4.4,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"KALRN",5,3.7,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"KCNT2",7,5.2,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"KCNU1",6,4.4,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"KDR",7,5.2,3,3,1,7,42.9,14.3,0.333,"Neutral/Unclear",NA,NA
"KIAA1549",6,4.4,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"LIFR",4,3,2,4,1,7,28.6,14.3,0.25,"Neutral/Unclear",NA,NA
"LRFN5",6,4.4,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA
"LRIG3",6,4.4,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA
"LRP1",3,2.2,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"MACF1",7,5.2,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"MAP2K1",7,5.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"MCL1",5,3.7,3,4,0,7,42.9,0,0,"aSHM Passenger","Apoptosis","Anti-apoptotic BCL2 family"
"MYOM2",5,3.7,4,1,2,7,57.1,28.6,2,"Mixed",NA,NA
"NCAM2",5,3.7,3,3,1,7,42.9,14.3,0.333,"Neutral/Unclear",NA,NA
"NEGR1",3,2.2,3,3,1,7,42.9,14.3,0.333,"Neutral/Unclear",NA,NA
"NLRP8",7,5.2,0,6,1,7,0,14.3,0.167,"Neutral/Unclear",NA,NA
"OTOGL",5,3.7,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA
"OVCH1",4,3,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"PARD3",5,3.7,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"PCDH7",5,3.7,3,4,0,7,42.9,0,0,"aSHM Passenger",NA,NA
"PCDHB3",7,5.2,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"PDE1C",4,3,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"PDE4DIP",7,5.2,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA
"PLCB1",5,3.7,3,4,0,7,42.9,0,0,"aSHM Passenger",NA,NA
"PLCZ1",5,3.7,0,7,0,7,0,0,0,"Hotspot/GoF",NA,NA
"PLXNB2",5,3.7,3,4,0,7,42.9,0,0,"aSHM Passenger",NA,NA
"PTPRZ1",5,3.7,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"RYR1",7,5.2,0,6,1,7,0,14.3,0.167,"Neutral/Unclear",NA,NA
"SCN7A",7,5.2,3,4,0,7,42.9,0,0,"aSHM Passenger",NA,NA
"SEMA3C",5,3.7,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"SORCS1",5,3.7,0,6,1,7,0,14.3,0.167,"Neutral/Unclear",NA,NA
"SORCS3",6,4.4,1,4,2,7,14.3,28.6,0.5,"Mixed",NA,NA
"SPHKAP",5,3.7,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"SPTA1",7,5.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"TCL1A",4,3,0,5,2,7,0,28.6,0.4,"Mixed",NA,NA
"TDRD6",3,2.2,3,3,1,7,42.9,14.3,0.333,"Neutral/Unclear",NA,NA
"TENM4",7,5.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"TJP1",6,4.4,1,4,2,7,14.3,28.6,0.5,"Mixed",NA,NA
"TLL1",5,3.7,3,4,0,7,42.9,0,0,"aSHM Passenger",NA,NA
"TLN2",6,4.4,2,4,1,7,28.6,14.3,0.25,"Neutral/Unclear",NA,NA
"TMEM30A",7,5.2,0,0,7,7,0,100,7,"Strong LoF Selection",NA,NA
"TRHDE",6,4.4,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"TYRP1",6,4.4,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"UNC13C",6,4.4,3,3,1,7,42.9,14.3,0.333,"Neutral/Unclear",NA,NA
"USP7",6,4.4,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA
"VMP1",7,5.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"VPS13C",4,3,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA
"ZNF208",7,5.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"ZNF836",5,3.7,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"ABCA4",6,4.4,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"ACSS3",2,1.5,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"ADCY2",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"ADCY5",6,4.4,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"AGAP1",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"AMPH",6,4.4,2,2,2,6,33.3,33.3,1,"LoF Selection",NA,NA
"APBA1",3,2.2,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"ARPP21",2,1.5,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"ASXL2",5,3.7,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"ATP10D",5,3.7,1,4,1,6,16.7,16.7,0.25,"Mixed",NA,NA
"ATP9B",5,3.7,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"BSN",6,4.4,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"C6",5,3.7,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"CAMTA1",4,3,4,2,0,6,66.7,0,0,"aSHM Passenger",NA,NA
"CD274",5,3.7,0,2,4,6,0,66.7,2,"Strong LoF Selection",NA,NA
"CD74",4,3,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"CDC42BPA",5,3.7,4,2,0,6,66.7,0,0,"aSHM Passenger",NA,NA
"CDH2",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"CHD8",6,4.4,0,5,1,6,0,16.7,0.2,"Mixed",NA,NA
"CIITA",4,3,0,6,0,6,0,0,0,"Hotspot/GoF","Immune Evasion","MHC-II transactivator"
"CMYA5",5,3.7,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"CNTNAP2",4,3,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"COL14A1",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"COL27A1",6,4.4,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"CTNND2",5,3.7,4,2,0,6,66.7,0,0,"aSHM Passenger",NA,NA
"CXCR5",4,3,1,3,2,6,16.7,33.3,0.667,"LoF Selection",NA,NA
"DAAM2",6,4.4,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"DCAF8L1",6,4.4,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"DEPDC5",6,4.4,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"DGKI",4,3,0,5,1,6,0,16.7,0.2,"Mixed",NA,NA
"DNAH8",7,5.2,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"DPY19L2",5,3.7,0,5,1,6,0,16.7,0.2,"Mixed",NA,NA
"DPYD",7,5.2,0,5,1,6,0,16.7,0.2,"Mixed",NA,NA
"DSG1",6,4.4,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"DYSF",6,4.4,3,2,1,6,50,16.7,0.5,"Mixed",NA,NA
"EGFR",6,4.4,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"EPG5",3,2.2,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"ETV6",6,4.4,1,3,2,6,16.7,33.3,0.667,"LoF Selection",NA,NA
"EVPL",6,4.4,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"F5",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"FIGN",1,0.7,1,4,1,6,16.7,16.7,0.25,"Mixed",NA,NA
"FN1",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"FREM1",5,3.7,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"FRY",4,3,0,5,1,6,0,16.7,0.2,"Mixed",NA,NA
"FSIP2",6,4.4,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"GABRA1",4,3,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"GLIS3",5,3.7,4,2,0,6,66.7,0,0,"aSHM Passenger",NA,NA
"GPR125",6,4.4,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"GREB1",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"GRIA4",4,3,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"GRM1",5,3.7,4,2,0,6,66.7,0,0,"aSHM Passenger",NA,NA
"HECW1",3,2.2,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"HERC1",6,4.4,1,4,1,6,16.7,16.7,0.25,"Mixed",NA,NA
"HIST1H2AL",6,4.4,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"HIST1H2BJ",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"HIST1H2BO",5,3.7,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"IRS4",6,4.4,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"KCNA4",6,4.4,4,2,0,6,66.7,0,0,"aSHM Passenger",NA,NA
"KCND2",4,3,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"KCNH7",4,3,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"KIAA1199",6,4.4,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"KIAA2022",6,4.4,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"KIF16B",3,2.2,3,2,1,6,50,16.7,0.5,"Mixed",NA,NA
"KIF21A",2,1.5,1,4,1,6,16.7,16.7,0.25,"Mixed",NA,NA
"KMT2A",6,4.4,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"LAMA4",5,3.7,4,1,1,6,66.7,16.7,1,"Mixed",NA,NA
"LAMB4",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"LINGO2",6,4.4,3,2,1,6,50,16.7,0.5,"Mixed",NA,NA
"LPHN1",6,4.4,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"LRP5",5,3.7,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"LRRC4C",5,3.7,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"LRRTM3",5,3.7,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"MAGEC2",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"MECOM",5,3.7,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"MGAT4C",2,1.5,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"MMP16",3,2.2,1,4,1,6,16.7,16.7,0.25,"Mixed",NA,NA
"MON1B",3,2.2,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"MYO6",4,3,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"NELL1",2,1.5,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"NHS",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"NLRC5",6,4.4,2,2,2,6,33.3,33.3,1,"LoF Selection",NA,NA
"NOTCH4",4,3,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"NRXN3",5,3.7,1,4,1,6,16.7,16.7,0.25,"Mixed",NA,NA
"OLFM4",5,3.7,4,2,0,6,66.7,0,0,"aSHM Passenger",NA,NA
"OPCML",4,3,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"OR52J3",3,2.2,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"OR56A1",5,3.7,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"PAPPA",4,3,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"PAPPA2",5,3.7,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"PARD3B",6,4.4,1,3,2,6,16.7,33.3,0.667,"LoF Selection",NA,NA
"PAX5",3,2.2,0,3,3,6,0,50,1,"Strong LoF Selection",NA,NA
"PCDH11Y",4,3,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"PCDHA1",5,3.7,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"PCDHA10",5,3.7,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"PCDHA3",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"PCDHB5",5,3.7,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"PCDHB6",6,4.4,1,4,1,6,16.7,16.7,0.25,"Mixed",NA,NA
"PCDHB7",5,3.7,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"PCDHGA10",3,2.2,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"PDE3A",4,3,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"PGR",5,3.7,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"PHIP",5,3.7,0,4,2,6,0,33.3,0.5,"LoF Selection",NA,NA
"PIWIL1",6,4.4,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"PLCH1",4,3,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"PLEC",5,3.7,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"POM121L12",3,2.2,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"PRRC2C",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"PSD3",5,3.7,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"PTCHD2",5,3.7,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"PTPRB",5,3.7,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"PTPRC",6,4.4,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"PTPRO",4,3,2,2,2,6,33.3,33.3,1,"LoF Selection",NA,NA
"RANBP17",5,3.7,0,5,1,6,0,16.7,0.2,"Mixed",NA,NA
"RANBP2",6,4.4,0,5,1,6,0,16.7,0.2,"Mixed",NA,NA
"RBP3",5,3.7,1,4,1,6,16.7,16.7,0.25,"Mixed",NA,NA
"RHOA",6,4.4,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"RIMS1",6,4.4,4,2,0,6,66.7,0,0,"aSHM Passenger",NA,NA
"RNF148",3,2.2,1,4,1,6,16.7,16.7,0.25,"Mixed",NA,NA
"RP1L1",6,4.4,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"RYR3",5,3.7,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"SALL3",6,4.4,4,2,0,6,66.7,0,0,"aSHM Passenger",NA,NA
"SCN3A",5,3.7,1,4,1,6,16.7,16.7,0.25,"Mixed",NA,NA
"SCN9A",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"SEMA3D",3,2.2,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"SIPA1L2",4,3,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"SLC13A1",6,4.4,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"SLC5A12",3,2.2,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"SLC5A8",5,3.7,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"SLITRK4",4,3,2,2,2,6,33.3,33.3,1,"LoF Selection",NA,NA
"SORL1",5,3.7,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"SPAG17",5,3.7,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"SPATA31E1",6,4.4,2,3,1,6,33.3,16.7,0.333,"Mixed",NA,NA
"SPTLC3",6,4.4,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"SVEP1",5,3.7,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"TCEB3B",4,3,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"TENM1",5,3.7,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"THBS2",2,1.5,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"THSD7B",5,3.7,0,5,1,6,0,16.7,0.2,"Mixed",NA,NA
"TIAM1",4,3,2,4,0,6,33.3,0,0,"aSHM Passenger",NA,NA
"TMEM132B",6,4.4,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"TPO",4,3,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"TPP2",6,4.4,0,3,3,6,0,50,1,"Strong LoF Selection",NA,NA
"TPTE",6,4.4,1,4,1,6,16.7,16.7,0.25,"Mixed",NA,NA
"TRPC5",5,3.7,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"WNK1",4,3,0,5,1,6,0,16.7,0.2,"Mixed",NA,NA
"WSCD1",6,4.4,1,4,1,6,16.7,16.7,0.25,"Mixed",NA,NA
"WWC3",6,4.4,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"WWOX",6,4.4,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"WWP1",2,1.5,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"XPO1",6,4.4,0,6,0,6,0,0,0,"Hotspot/GoF",NA,NA
"ZBED1",4,3,3,2,1,6,50,16.7,0.5,"Mixed",NA,NA
"ZFP42",2,1.5,3,3,0,6,50,0,0,"aSHM Passenger",NA,NA
"ZIC1",3,2.2,4,2,0,6,66.7,0,0,"aSHM Passenger",NA,NA
"ZNF106",4,3,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"ZNF184",2,1.5,1,3,2,6,16.7,33.3,0.667,"LoF Selection",NA,NA
"ZNF91",4,3,1,5,0,6,16.7,0,0,"aSHM Passenger",NA,NA
"ABCA2",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"ADAMTS17",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"ADAR",5,3.7,0,3,2,5,0,40,0.667,"LoF Selection",NA,NA
"ADCY1",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"ADCY8",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"ADRA1A",3,2.2,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"AGMO",3,2.2,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"ALDH1L1",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"AMY2B",1,0.7,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"ANKRD11",3,2.2,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"ANKS1B",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"ANKS3",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"ANO3",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"ANO4",4,3,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"AOX1",5,3.7,1,2,2,5,20,40,1,"LoF Selection",NA,NA
"APOB",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"ARHGAP10",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"ARHGAP21",2,1.5,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"ARHGAP32",6,4.4,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"ARHGEF28",5,3.7,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"ARID1B",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"ARID5B",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"ASH1L",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"ASPM",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"ATP10A",3,2.2,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"ATP8A2",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"BAZ2B",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"BCHE",1,0.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"BCL7A",3,2.2,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"BEND3",3,2.2,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"BICD2",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"BOD1L1",2,1.5,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"BRD1",5,3.7,0,3,2,5,0,40,0.667,"LoF Selection",NA,NA
"BRINP1",2,1.5,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"BTBD3",5,3.7,4,1,0,5,80,0,0,"aSHM Passenger",NA,NA
"BTK",5,3.7,1,2,2,5,20,40,1,"LoF Selection",NA,NA
"C10orf12",5,3.7,0,1,4,5,0,80,4,"Strong LoF Selection",NA,NA
"C10orf90",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"C1orf87",5,3.7,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"CACNA1G",5,3.7,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"CACNA2D3",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"CADPS",4,3,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"CCDC102B",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"CD163L1",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"CDC42BPG",3,2.2,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"CDH22",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"CEP112",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"CFH",2,1.5,2,1,2,5,40,40,2,"LoF Selection",NA,NA
"CHD1",4,3,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"CHDC2",3,2.2,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"CHRM3",4,3,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"CIT",3,2.2,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"CKAP5",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"CLSTN3",3,2.2,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"CNTNAP5",3,2.2,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"COL24A1",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"COL25A1",4,3,2,1,2,5,40,40,2,"LoF Selection",NA,NA
"COL6A1",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"COL8A1",3,2.2,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"CPNE4",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"CRIM1",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"CSGALNACT1",2,1.5,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"CSMD2",4,3,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"CSPG4",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"CTTNBP2",4,3,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"CYFIP1",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"DCDC1",3,2.2,1,1,3,5,20,60,3,"Strong LoF Selection",NA,NA
"DFNB31",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"DHX34",3,2.2,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"DIAPH1",2,1.5,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"DIAPH2",5,3.7,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"DISP1",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"DNAH2",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"DNER",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"DOCK2",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"DOCK4",3,2.2,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"DOPEY1",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"DSC2",3,2.2,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"DYNC2H1",5,3.7,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"DZIP1",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
