"Gene","N_Patients","Pct_Patients","Silent","Missense","Truncating","Total","Pct_Silent","Pct_Trunc","Trunc_Mis_Ratio","Pattern","Pathway","Function","GAMBL_Patients","GAMBL_Missense","GAMBL_Truncating","GAMBL_Total","GAMBL_Pct_Pts","GAMBL_Pct_Trunc","Corrected_Class","Mechanism","Final_Class","In_GAMBL","Validation"
"FAM47B",6,4.4,3,5,2,10,30,20,0.4,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"FAS",9,6.7,0,2,8,10,0,80,4,"Strong LoF Selection","Apoptosis","Death receptor",16,10,7,17,1.7,41.2,"Tumor Suppressor","Death receptor","Tumor Suppressor",TRUE,"✓ Yes"
"FSTL5",4,3,3,6,1,10,30,10,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"HGF",4,3,3,5,2,10,30,20,0.4,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"HIST1H2AC",10,7.4,4,5,1,10,40,10,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"KIF2B",8,5.9,1,7,2,10,10,20,0.286,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"LRBA",8,5.9,3,6,1,10,30,10,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"MUC17",8,5.9,2,7,1,10,20,10,0.143,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"NFKBIA",6,4.4,0,6,4,10,0,40,0.667,"LoF Selection","NF-kB","IkBa, NF-kB inhibitor",30,6,31,37,3.1,83.8,NA,NA,"Tumor Suppressor",TRUE,"✓ Yes"
"NLGN1",6,4.4,3,7,0,10,30,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"NRK",5,3.7,4,6,0,10,40,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"NRXN1",6,4.4,3,7,0,10,30,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"OBSCN",9,6.7,4,5,1,10,40,10,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"PTPRK",6,4.4,3,5,2,10,30,20,0.4,"Mixed",NA,NA,31,32,0,32,3.2,0,NA,NA,"Unclear",TRUE,"?"
"RFTN1",8,5.9,4,4,2,10,40,20,0.5,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ROBO2",5,3.7,2,7,1,10,20,10,0.143,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"SEMA3A",4,3,2,7,1,10,20,10,0.143,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"SLITRK1",5,3.7,3,6,1,10,30,10,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"TMPRSS15",4,3,1,9,0,10,10,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"TRPS1",6,4.4,5,4,1,10,50,10,0.25,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"UBR5",9,6.7,1,6,3,10,10,30,0.5,"LoF Selection",NA,NA,25,25,4,29,2.6,13.8,NA,NA,"Tumor Suppressor",TRUE,"~ Partial"
"ZFHX3",8,5.9,3,7,0,10,30,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"ZNF462",5,3.7,1,9,0,10,10,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"ADAMTS16",8,5.9,0,8,1,9,0,11.1,0.125,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"AHNAK",8,5.9,3,6,0,9,33.3,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"ATRX",9,6.7,1,7,1,9,11.1,11.1,0.143,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"BRWD3",9,6.7,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"BTG2",4,3,1,7,1,9,11.1,11.1,0.143,"Neutral/Unclear","Proliferation","Anti-proliferative, aSHM target",58,67,0,67,6,0,NA,NA,"Unclear",TRUE,"?"
"COL4A5",6,4.4,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"DCAF12L1",6,4.4,2,6,1,9,22.2,11.1,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"DNAH10",7,5.2,6,2,1,9,66.7,11.1,0.5,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"DNAH11",9,6.7,2,6,1,9,22.2,11.1,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"DSC1",6,4.4,1,6,2,9,11.1,22.2,0.333,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"FBN1",5,3.7,1,6,2,9,11.1,22.2,0.333,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"FRAS1",8,5.9,2,6,1,9,22.2,11.1,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"GRM7",5,3.7,0,9,0,9,0,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"HIST1H3I",8,5.9,3,6,0,9,33.3,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"HNRNPU",7,5.2,2,5,2,9,22.2,22.2,0.4,"Mixed",NA,NA,23,17,6,23,2.4,26.1,NA,NA,"Unclear",TRUE,"?"
"HTR2C",7,5.2,5,4,0,9,55.6,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"INPP4B",2,1.5,2,6,1,9,22.2,11.1,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"INSR",7,5.2,3,5,1,9,33.3,11.1,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"KMT2C",7,5.2,4,3,2,9,44.4,22.2,0.667,"Mixed","Chromatin","H3K4 methyltransferase",56,59,2,61,5.8,3.3,NA,NA,"Unclear",TRUE,"?"
"LTB",7,5.2,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MAGI1",9,6.7,0,9,0,9,0,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"MAGI2",7,5.2,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MGAM",9,6.7,4,4,1,9,44.4,11.1,0.25,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"MUC2",5,3.7,5,4,0,9,55.6,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MUC5B",7,5.2,4,5,0,9,44.4,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MYO10",9,6.7,5,4,0,9,55.6,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MYO15A",9,6.7,1,8,0,9,11.1,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"MYT1L",5,3.7,3,5,1,9,33.3,11.1,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"NOTCH1",4,3,0,5,4,9,0,44.4,0.8,"LoF Selection","Notch","Notch receptor",NA,NA,NA,NA,NA,NA,"Oncogene (PEST trunc)","PEST truncations remove auto-inhibition","Oncogene (PEST trunc)",FALSE,"-"
"PCDHA6",6,4.4,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PCDHA7",9,6.7,1,8,0,9,11.1,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"PDZD2",9,6.7,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"POU2F2",9,6.7,0,8,1,9,0,11.1,0.125,"Neutral/Unclear",NA,NA,22,23,0,23,2.3,0,NA,NA,"Unclear",TRUE,"?"
"PRDM1",11,8.1,0,4,5,9,0,55.6,1.25,"Strong LoF Selection","Plasma Cell","BLIMP1, plasma cell differentiation",32,23,12,35,3.3,34.3,"Tumor Suppressor","BLIMP1 - plasma cell differentiation","Tumor Suppressor",TRUE,"✓ Yes"
"PRKCB",7,5.2,1,8,0,9,11.1,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"RIMS2",7,5.2,1,6,2,9,11.1,22.2,0.333,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"SPEF2",8,5.9,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"TENM2",8,5.9,3,5,1,9,33.3,11.1,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"TSHZ3",7,5.2,4,5,0,9,44.4,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"UNC5C",5,3.7,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"ZNF600",4,3,1,8,0,9,11.1,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"ADAMTS5",5,3.7,4,3,1,8,50,12.5,0.333,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ARRDC4",5,3.7,5,3,0,8,62.5,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"ATRNL1",8,5.9,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"B2M",8,5.9,0,0,8,8,0,100,8,"Strong LoF Selection","Immune Evasion","MHC-I component",55,46,21,67,5.7,31.3,"Tumor Suppressor","MHC-I essential component","Tumor Suppressor",TRUE,"✓ Yes"
"BIRC6",7,5.2,0,4,4,8,0,50,1,"Strong LoF Selection",NA,NA,64,60,9,69,6.6,13,NA,NA,"Tumor Suppressor",TRUE,"~ Partial"
"BNC2",5,3.7,4,4,0,8,50,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"BRAF",8,5.9,1,7,0,8,12.5,0,0,"Hotspot/GoF","MAPK","Serine/threonine kinase",19,19,0,19,2,0,"Oncogene","V600E kinase activation","Oncogene",TRUE,"✓ Yes"
"CCNB3",8,5.9,3,4,1,8,37.5,12.5,0.25,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"CD36",3,2.2,3,3,2,8,37.5,25,0.667,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"CDH12",5,3.7,3,4,1,8,37.5,12.5,0.25,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"CDH19",5,3.7,3,5,0,8,37.5,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"CHD4",8,5.9,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"CHM",5,3.7,1,6,1,8,12.5,12.5,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"COL7A1",7,5.2,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"CPS1",8,5.9,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"DAPK1",7,5.2,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"DDX3X",7,5.2,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA,32,30,2,32,3.3,6.2,NA,NA,"aSHM Target",TRUE,"N/A (no silent)"
"DLC1",6,4.4,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"DMBT1",7,5.2,3,5,0,8,37.5,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"DSC3",4,3,1,6,1,8,12.5,12.5,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ELAVL2",5,3.7,0,7,1,8,0,12.5,0.143,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"EPPK1",5,3.7,1,6,1,8,12.5,12.5,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"FAM47A",4,3,3,5,0,8,37.5,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"GRB10",6,4.4,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"GRIN2B",6,4.4,2,4,2,8,25,25,0.5,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"HIST1H2AG",8,5.9,3,5,0,8,37.5,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"HIST1H2BD",8,5.9,8,0,0,8,100,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"IGSF9B",7,5.2,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"IL1RAPL2",5,3.7,3,4,1,8,37.5,12.5,0.25,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"KLHL1",3,2.2,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MFHAS1",5,3.7,3,5,0,8,37.5,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MPEG1",8,5.9,4,4,0,8,50,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MYH1",6,4.4,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"MYH10",6,4.4,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"NAV2",6,4.4,0,8,0,8,0,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"NBEA",5,3.7,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"NOTCH2",8,5.9,0,2,6,8,0,75,3,"Strong LoF Selection","Notch","Notch receptor (marginal zone)",73,47,29,76,7.5,38.2,"Oncogene (PEST trunc)","PEST truncations are activating","Oncogene (PEST trunc)",TRUE,"⚠ Check"
"NRAP",7,5.2,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"OCA2",7,5.2,4,4,0,8,50,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PCDHA13",5,3.7,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"PCDHA2",6,4.4,4,4,0,8,50,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PCDHA5",4,3,5,3,0,8,62.5,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PDGFC",5,3.7,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PPP1R9A",5,3.7,2,4,2,8,25,25,0.5,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"PRDM9",5,3.7,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ROBO1",6,4.4,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"S1PR2",6,4.4,0,8,0,8,0,0,0,"Hotspot/GoF","GC Exit","S1P receptor, GC confinement",19,23,5,28,2,17.9,"Tumor Suppressor","GC-exit pathway, scattered LoF missense","Tumor Suppressor",TRUE,"~ Partial"
"SCAND3",5,3.7,0,6,2,8,0,25,0.333,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"SEMA5A",4,3,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"SLC6A15",6,4.4,1,6,1,8,12.5,12.5,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"SPEN",7,5.2,1,2,5,8,12.5,62.5,2.5,"Strong LoF Selection",NA,NA,99,60,50,110,10.2,45.5,NA,NA,"Tumor Suppressor",TRUE,"✓ Yes"
"TBC1D4",7,5.2,3,4,1,8,37.5,12.5,0.25,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"TNC",6,4.4,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"TNF",8,5.9,2,4,2,8,25,25,0.5,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"TRRAP",7,5.2,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"USP34",7,5.2,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ZFPM2",3,2.2,1,6,1,8,12.5,12.5,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ZIC4",3,2.2,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"ZNF407",6,4.4,5,2,1,8,62.5,12.5,0.5,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ZNF521",7,5.2,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"ABCC9",6,4.4,0,5,2,7,0,28.6,0.4,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ACTG1",7,5.2,4,3,0,7,57.1,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"ADAMTS12",6,4.4,3,3,1,7,42.9,14.3,0.333,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"AKAP6",5,3.7,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"AMBRA1",7,5.2,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ANK3",7,5.2,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"ANKRD30B",4,3,0,6,1,7,0,14.3,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"AR",6,4.4,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"ARHGAP25",7,5.2,2,1,4,7,28.6,57.1,4,"Strong LoF Selection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tumor Suppressor",FALSE,"-"
"ARID1A",4,3,2,2,3,7,28.6,42.9,1.5,"LoF Selection","Chromatin","SWI/SNF chromatin remodeling",93,75,22,97,9.6,22.7,NA,NA,"Tumor Suppressor",TRUE,"~ Partial"
"ASTN2",5,3.7,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"ASXL3",7,5.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"ATM",4,3,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA,72,68,9,77,7.4,11.7,NA,NA,"aSHM Target",TRUE,"N/A (no silent)"
"BCL10",6,4.4,0,3,4,7,0,57.1,1.333,"Strong LoF Selection",NA,NA,28,19,12,31,2.9,38.7,NA,NA,"Tumor Suppressor",TRUE,"✓ Yes"
"BMP5",4,3,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"BRWD1",5,3.7,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"C6orf118",3,2.2,2,4,1,7,28.6,14.3,0.25,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"CACNA1B",7,5.2,4,3,0,7,57.1,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"CACNA1C",7,5.2,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"CACNA1E",6,4.4,0,7,0,7,0,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"CCND3",6,4.4,1,3,3,7,14.3,42.9,1,"LoF Selection",NA,NA,32,22,10,32,3.3,31.2,NA,NA,"Tumor Suppressor",TRUE,"✓ Yes"
"CDH11",7,5.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"CDH9",3,2.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"COL12A1",4,3,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"CXorf22",7,5.2,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"DAB2",6,4.4,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"DACH1",3,2.2,3,3,1,7,42.9,14.3,0.333,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"DCHS2",6,4.4,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"DNAH1",5,3.7,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"DNAH9",7,5.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"DPP10",3,2.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"DUSP2",7,5.2,2,3,2,7,28.6,28.6,0.667,"Mixed",NA,NA,76,91,0,91,7.8,0,NA,NA,"Unclear",TRUE,"?"
